"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","has_opposing_direction_switches","has_multi_isoform_opposing_switch","rank","dataset_key","dataset_label","isoform_q_cutoff","gene_q_cutoff","min_abs_dif_cutoff"
"XLOC_003208","PSMB2",7,1,0,1,0.2186,1.18204549421993e-21,1.18204549421993e-21,FALSE,FALSE,70,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_001009","IFI44",24,1,1,0,0.2181,1.58843051900716e-05,1.58843051900716e-05,FALSE,FALSE,71,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_045462","STXBP5",12,1,0,1,0.2176,4.16241364792214e-07,4.16241364792214e-07,FALSE,FALSE,72,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_032191","PANK2",15,1,1,0,0.2132,0.0314941492927219,0.00070259333913402,FALSE,FALSE,73,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_056313","PDZD11",8,1,0,1,0.212966666666667,2.98986855246614e-06,2.98986855246614e-06,FALSE,FALSE,74,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_048862","NT5C3A",20,2,0,2,0.210033333333333,1.65192865141257e-08,1.65192865141257e-08,FALSE,FALSE,75,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_024127","USP36",26,1,0,1,0.208233333333333,8.55778175898141e-08,8.55778175898141e-08,FALSE,FALSE,76,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_003124","SNHG12",21,1,1,0,0.206366666666667,0.0197260593086169,0.0197260593086169,FALSE,FALSE,77,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_030641","VPS54",8,1,0,1,0.203333333333333,2.36934396002668e-08,2.36934396002668e-08,FALSE,FALSE,78,"H_HT","H_HT_supplementary",0.05,0.05,0.15
"XLOC_002016","RGL1",15,1,1,0,0.203233333333333,0.000750583624731013,0.000750583624731013,FALSE,FALSE,79,"H_HT","H_HT_supplementary",0.05,0.05,0.15
