"gene_id","gene_name","n_isoforms","n_novel_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_known_switching_isoforms","novel_involved","has_novel_isoform","max_abs_dif_switching","max_abs_dif_novel_switching","min_isoform_switch_q","min_novel_switch_q","dataset_label","rank"
"XLOC_022044","CCL4",20,12,2,2,0,TRUE,TRUE,0.188466666666667,0.188466666666667,0.0128941873591882,0.0128941873591882,"T_HT_anchor",25
"XLOC_026989","CLEC4G",22,8,1,1,0,TRUE,TRUE,0.177166666666667,0.177166666666667,0.00143119131157685,0.00143119131157685,"T_HT_anchor",26
"XLOC_012762","PYM1",8,3,1,1,0,TRUE,TRUE,0.177133333333333,0.177133333333333,0.0023846196645786,0.0023846196645786,"T_HT_anchor",27
"XLOC_005989","IFIT3",21,11,2,2,0,TRUE,TRUE,0.176166666666667,0.176166666666667,7.67974761830751e-15,7.67974761830751e-15,"T_HT_anchor",28
"XLOC_052815","CBWD3",24,8,1,1,0,TRUE,TRUE,0.175133333333333,0.175133333333333,0.00453594222192303,0.00453594222192303,"T_HT_anchor",29
"XLOC_036619","ACP3",22,18,1,1,0,TRUE,TRUE,0.1734,0.1734,1.40228042343877e-13,1.40228042343877e-13,"T_HT_anchor",30
"XLOC_020026","CCL22",7,7,2,2,0,TRUE,TRUE,0.356333333333333,0.356333333333333,0.000699466257823758,0.000699466257823758,"T_UT",1
"XLOC_011393","IL23A",10,9,2,2,0,TRUE,TRUE,0.313633333333333,0.313633333333333,1.4544418730257e-16,1.4544418730257e-16,"T_UT",2
"XLOC_036709","CD86",13,8,3,2,1,TRUE,TRUE,0.435666666666667,0.300233333333333,3.46906245372081e-16,3.46906245372081e-16,"T_UT",3
"XLOC_007559","IFITM2",33,1,1,1,0,TRUE,TRUE,0.289466666666667,0.289466666666667,3.6900810201612e-74,3.6900810201612e-74,"T_UT",4
"XLOC_054002","DDX58",30,20,3,2,1,TRUE,TRUE,0.2854,0.2854,4.3336835926652e-31,4.3336835926652e-31,"T_UT",5
"XLOC_049673","TFPI2",9,4,1,1,0,TRUE,TRUE,0.2711,0.2711,6.90380828699361e-06,6.90380828699361e-06,"T_UT",6
"XLOC_034994","TIMP3",5,4,2,2,0,TRUE,TRUE,0.269066666666667,0.269066666666667,2.50386935760562e-33,2.50386935760562e-33,"T_UT",7
"XLOC_034300","MRPL39",10,9,1,1,0,TRUE,TRUE,0.2652,0.2652,0.011638537797416,0.011638537797416,"T_UT",8
