"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_isoforms","min_isoform_switch_q","min_gene_switch_q","max_abs_dif_all_isoforms","max_abs_dif_switching","novel_involved"
"XLOC_000529","KIAA1522",5,0,0,0.46136823452787,0.46136823452787,0.174233333333333,,FALSE
"XLOC_000530","S100PBP",15,0,5,0.25608559971779,0.25608559971779,0.135733333333333,,FALSE
"XLOC_000560","ZMYM4",12,0,6,0.666958479124943,0.666958479124943,0.123466666666667,,FALSE
"XLOC_000565","NCDN",6,0,0,0.184127606707939,0.184127606707939,0.0347333333333333,,FALSE
"XLOC_000568","AGO4",6,0,3,0.292705461419781,0.292705461419781,0.0731333333333333,,FALSE
"XLOC_000569","AGO1",3,0,0,0.448548912026333,0.448548912026333,0.2976,,FALSE
"XLOC_000570","AGO3",9,0,2,0.0926059145386624,0.0926059145386624,0.0649666666666667,,FALSE
"XLOC_000573","MAP7D1",15,0,2,0.0805793731153732,0.0805793731153732,0.0581,,FALSE
"XLOC_000575","THRAP3",9,0,6,0.060065918159149,0.060065918159149,0.103433333333333,,FALSE
"XLOC_000576","SH3D21",8,0,0,0.987404154093021,0.987404154093021,0.0428,,FALSE
"XLOC_000585","ZC3H12A",6,0,2,0.879446125672577,0.879446125672577,0.0507,,FALSE
"XLOC_000600","UTP11",9,0,6,0.871459368102546,0.871459368102546,0.0912666666666667,,FALSE
"XLOC_000610","AKIRIN1",6,0,3,0.977415001189189,0.977415001189189,0.0701,,FALSE
"XLOC_000612","MACF1",55,0,13,0.0106797674956802,0.0106797674956802,0.0844333333333333,,FALSE
"XLOC_000617","PPIE",28,0,19,0.214037030031181,0.214037030031181,0.0851666666666667,,FALSE
"XLOC_000623","MFSD2A",18,0,11,0.761596051624842,0.761596051624842,0.0600666666666667,,FALSE
"XLOC_000625","CAP1",133,0,122,3.99927352340897e-05,3.99927352340897e-05,0.044,,FALSE
"XLOC_000630","ZMPSTE24",32,0,29,0.881702790632181,0.881702790632181,0.0713666666666667,,FALSE
"XLOC_000631","SMAP2",32,0,28,0.00636407022869219,0.00636407022869219,0.0942333333333333,,FALSE
"XLOC_000633","ZFP69B",8,0,6,0.882191405649946,0.882191405649946,0.191,,FALSE
"XLOC_000635","ZFP69",7,0,5,0.66530169744834,0.66530169744834,0.3027,,FALSE
"XLOC_000636","EXO5",27,0,19,0.0451929930396244,0.0451929930396244,0.132433333333333,,FALSE
"XLOC_000639","NFYC",47,0,35,0.00568154968898293,0.00568154968898293,0.0451,,FALSE
"XLOC_000646","CTPS1",32,0,25,0.457554519525132,0.457554519525132,0.1428,,FALSE
"XLOC_000659","PPCS",30,0,11,0.442259888326946,0.442259888326946,0.0154666666666667,,FALSE
"XLOC_000663","PPIH",18,0,4,0.953197231168096,0.953197231168096,0.0442,,FALSE
"XLOC_000665","YBX1",14,0,10,0.0424182029110946,0.0424182029110946,0.0265666666666667,,FALSE
"XLOC_000666","C1orf50",13,0,2,0.875582358922828,0.875582358922828,0.0795,,FALSE
"XLOC_000667","ERMAP",15,0,8,0.113530898236059,0.113530898236059,0.109966666666667,,FALSE
"XLOC_000678","TIE1",12,0,3,0.851580915257839,0.851580915257839,0.0741333333333333,,FALSE
"XLOC_000680","CDC20",6,0,4,0.0472523545059136,0.0472523545059136,0.0683,,FALSE
"XLOC_000683","SZT2",21,0,3,0.930650502274081,0.930650502274081,0.0562333333333333,,FALSE
"XLOC_000686","KDM4A",60,0,20,0.000617216381144413,0.000617216381144413,0.0730333333333333,,FALSE
"XLOC_000690","IPO13",12,0,6,0.276322303143622,0.276322303143622,0.0494,,FALSE
"XLOC_000691","DPH2",21,0,14,0.631705608478257,0.631705608478257,0.187866666666667,,FALSE
"XLOC_000692","ATP6V0B",19,0,9,0.303891150304047,0.303891150304047,0.0263333333333334,,FALSE
"XLOC_000693","B4GALT2",7,0,0,0.88705863280722,0.88705863280722,0.0879666666666667,,FALSE
"XLOC_000697","DMAP1",15,0,3,0.109703571586978,0.109703571586978,0.0687333333333333,,FALSE
"XLOC_000699","RNF220",12,0,1,0.974516085232576,0.974516085232576,0.0375,,FALSE
"XLOC_000701","ARMH1",10,0,0,0.835908483546989,0.835908483546989,0.126166666666667,,FALSE
"XLOC_000705","PLK3",10,0,3,0.107870458013349,0.107870458013349,0.0508666666666667,,FALSE
"XLOC_000706","BTBD19",8,0,0,0.88705863280722,0.88705863280722,0.0252,,FALSE
"XLOC_000709","UROD",36,0,21,0.130963466257109,0.130963466257109,0.0189666666666667,,FALSE
"XLOC_000712","TOE1",15,0,12,0.971573702915397,0.971573702915397,0.0548333333333333,,FALSE
