"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_isoforms","min_isoform_switch_q","min_gene_switch_q","max_abs_dif_all_isoforms","max_abs_dif_switching","novel_involved"
"XLOC_000536","S100PBP",22,0,10,1.75630825667872e-05,1.75630825667872e-05,0.0549,,FALSE
"XLOC_000542","XLOC_000542",3,0,3,0.94652657060839,0.94652657060839,0.0932,,FALSE
"XLOC_000546","ZNF362",4,0,0,0.404872447000698,0.404872447000698,0.0173,,FALSE
"XLOC_000551","ZSCAN20",4,0,0,0.94652657060839,0.94652657060839,0.0166999999999999,,FALSE
"XLOC_000562","ZMYM1",10,0,2,0.623354643961999,0.623354643961999,0.0779666666666667,,FALSE
"XLOC_000566","ZMYM4",14,0,8,0.689586500416407,0.689586500416407,0.0493333333333333,,FALSE
"XLOC_000571","NCDN",6,0,0,0.699362100861948,0.699362100861948,0.0245333333333334,,FALSE
"XLOC_000572","TFAP2E",5,0,0,0.705833246738939,0.705833246738939,0.0700666666666667,,FALSE
"XLOC_000574","AGO4",4,0,1,0.94652657060839,0.94652657060839,0.0783666666666667,,FALSE
"XLOC_000575","AGO1",3,0,0,0.94652657060839,0.94652657060839,0.0539666666666667,,FALSE
"XLOC_000576","AGO3",9,0,3,0.632035348586475,0.632035348586475,0.0875,,FALSE
"XLOC_000578","ADPRS",2,0,2,0.966855778563771,0.966855778563771,0.012,,FALSE
"XLOC_000579","MAP7D1",17,0,4,0.608075976691373,0.608075976691373,0.0331666666666667,,FALSE
"XLOC_000581","THRAP3",10,0,7,0.851014729428526,0.851014729428526,0.0413,,FALSE
"XLOC_000582","SH3D21",8,0,0,0.616907267518965,0.616907267518965,0.0585333333333333,,FALSE
"XLOC_000592","ZC3H12A",5,0,1,0.173027458243258,0.173027458243258,0.0780333333333333,,FALSE
"XLOC_000597","CDCA8",9,0,9,0.754092808624712,0.754092808624712,0.0518666666666667,,FALSE
"XLOC_000599","MANEAL",5,0,0,0.660499933131208,0.660499933131208,0.0602666666666667,,FALSE
"XLOC_000600","C1orf122",3,0,0,0.94652657060839,0.94652657060839,0.00723333333333331,,FALSE
"XLOC_000607","UTP11",11,0,8,0.00622352336027648,0.00622352336027648,0.0995333333333333,,FALSE
"XLOC_000617","AKIRIN1",7,0,3,0.94652657060839,0.94652657060839,0.00503333333333333,,FALSE
"XLOC_000618","NDUFS5",5,0,4,0.94652657060839,0.94652657060839,0.0233333333333333,,FALSE
"XLOC_000619","MACF1",60,0,16,4.57819196427278e-08,4.57819196427278e-08,0.0398666666666667,,FALSE
"XLOC_000625","PPIE",43,0,33,0.049330944372743,0.049330944372743,0.0346666666666667,,FALSE
"XLOC_000629","XLOC_000629",6,0,2,0.60573016169738,0.60573016169738,0.0263666666666667,,FALSE
"XLOC_000631","MFSD2A",26,0,18,0.00316544919599917,0.00316544919599917,0.0623333333333333,,FALSE
"XLOC_000633","CAP1",147,0,133,0.0179241414907806,0.0179241414907806,0.0107,,FALSE
"XLOC_000635","RLF",4,0,3,0.94652657060839,0.94652657060839,0.0364,,FALSE
"XLOC_000638","ZMPSTE24",39,0,34,0.288853903588188,0.288853903588188,0.0249333333333334,,FALSE
"XLOC_000639","SMAP2",34,0,29,0.602880230622438,0.602880230622438,0.0228333333333333,,FALSE
"XLOC_000641","ZFP69B",14,0,12,0.478456976404989,0.478456976404989,0.0401333333333334,,FALSE
"XLOC_000642","XLOC_000642",3,0,2,0.596577844262729,0.596577844262729,0.1326,,FALSE
"XLOC_000643","ZFP69",14,0,11,3.6535718108695e-23,3.6535718108695e-23,0.0244666666666667,,FALSE
"XLOC_000644","EXO5",40,0,34,0.0542401407898475,0.0542401407898475,0.0207,,FALSE
"XLOC_000647","NFYC",72,0,53,0.521554385985654,0.521554385985654,0.0447,,FALSE
"XLOC_000650","KCNQ4",4,0,0,0.880209598872159,0.880209598872159,0.0306,,FALSE
"XLOC_000652","XLOC_000652",3,0,3,0.962955865368862,0.962955865368862,0.0308333333333333,,FALSE
"XLOC_000655","CTPS1",64,0,48,5.4998953909821e-08,5.4998953909821e-08,0.0221666666666667,,FALSE
"XLOC_000669","PPCS",65,0,25,0.0270314097528667,0.0270314097528667,0.0241666666666667,,FALSE
"XLOC_000673","PPIH",31,0,17,0.32164650772788,0.32164650772788,0.0439666666666667,,FALSE
