"dataset","gene_name","gene_id","gene_lfc","dom_lfc","minor_lfc","dom_IF1","dom_IF2","gene_expression"
"T_HT","VPS35","XLOC_020925",-0.376247485616434,-0.0922134742645612,-0.522003073191782,0.318833333333333,0.3897,78.0857666831178
"T_HT","USP5","XLOC_010744",-0.369721005904484,-0.0656122418041354,-0.564996804064868,0.404666666666667,0.473866666666667,29.5124756919834
"T_HT","NUP210","XLOC_037242",-0.35769170926018,-0.0684438867251761,-0.510539692167234,0.3142,0.3879,156.290430425033
"T_HT","TTC39C","XLOC_024438",-0.351021685251936,-0.0892886436458957,-0.504957769083123,0.419933333333333,0.508933333333333,12.8533474081908
"T_HT","C1orf50","XLOC_000666",-0.337178233852625,-0.0891042893156873,-0.470100777376457,0.333066666666667,0.397033333333333,71.1811887965306
"T_HT","HLA-DMB","XLOC_046101",-0.336604886486514,0.0211390339987298,-0.739634682919409,0.512266666666667,0.675966666666667,15.875849035473
"T_HT","SETX","XLOC_054487",-0.328713693836173,-0.0443630225876756,-0.4819450950548,0.337366666666667,0.4179,32.2083882094315
"T_HT","MRPL37","XLOC_000833",-0.324120812435335,-0.0532968505430059,-0.502126252833189,0.367233333333333,0.440333333333333,230.570393334349
"T_HT","MEGF8","XLOC_026311",-0.321119974737405,-0.0391924111220787,-0.556745564941057,0.459066666666667,0.569266666666667,18.5758622921763
"T_HT","RNH1","XLOC_009103",-0.309050326399636,-0.0333243388013235,-0.465917960339915,0.334266666666667,0.4044,161.126333129622
"T_HT","MDK","XLOC_007994",-0.308950367613952,0.00728122962894099,-0.809950423204434,0.581066666666667,0.737766666666667,27.2330108024628
"T_HT","NPAT","XLOC_010349",-0.308950183143361,-0.0258182999543821,-0.547816922522031,0.4793,0.603366666666667,12.2095627028364
"T_HT","SUSD1","XLOC_054282",-0.301153998259909,-0.021265208841991,-0.469877397304138,0.3813,0.470433333333333,17.7957035631444
"T_HT","UBE4A","XLOC_008885",-0.300401171366936,0.00569990186595305,-0.504032023571908,0.371333333333333,0.466133333333333,40.7445788018829
"T_UT","HACD4","XLOC_053931",-0.571465706170665,-0.0539721756176089,-0.913575522557123,0.3409,0.495533333333333,50.0303733376343
"T_UT","KLHL7","XLOC_047594",-0.505795666817703,-0.0591908333715625,-0.721325542137592,0.3164,0.444766666666667,16.436574478702
"T_UT","B3GALNT1","XLOC_038576",-0.500252399053679,-0.0705608185779084,-0.717656357860751,0.344433333333333,0.472833333333333,14.2595841911143
"T_UT","ORC5","XLOC_049802",-0.466922285096514,-0.0753624974567776,-0.700236215514072,0.349933333333333,0.453733333333333,40.8049597245013
"T_UT","KAT14","XLOC_032465",-0.466020307178873,-0.0780614860408739,-0.629094454567845,0.316233333333333,0.4282,12.5654139237919
"T_UT","MOSPD1","XLOC_057081",-0.412877245533837,-0.0463604426549784,-0.566720812927695,0.3028,0.4015,14.7128694333367
"T_UT","FBXO25","XLOC_050243",-0.406503672364476,-0.00404411779864212,-0.630555333558602,0.330133333333333,0.437366666666667,33.3766224839624
"T_UT","PENK","XLOC_051989",-0.392816354533295,0.206162594530496,-1.10845597940663,0.482966666666667,0.764266666666667,12.5276615826103
"T_UT","BCL7B","XLOC_049531",-0.378513224604247,0.11166982716002,-0.839533278641518,0.407066666666667,0.5751,129.849966980429
"T_UT","MBD6","XLOC_011415",-0.350139273327744,-0.0700299972471723,-0.552183191711157,0.403166666666667,0.4892,44.8870560506648
"T_UT","ZNF91","XLOC_027510",-0.348564050374771,-0.093232878874032,-0.453477419209175,0.312766666666667,0.372833333333333,21.7990956036893
"T_UT","CRNKL1","XLOC_033197",-0.348451108554827,-0.0580839872686156,-0.473550804500097,0.308166666666667,0.384433333333333,21.4498564662378
"T_UT","ZNF221","XLOC_026496",-0.344489458044916,-0.0695219865388056,-0.465837099100704,0.326766666666667,0.403433333333333,17.5110192551655
"T_UT","NRF1","XLOC_048506",-0.342478646138066,0.0998488980385329,-0.628115587407209,0.440333333333333,0.493633333333333,27.3782906751828
"T_UT","EPM2A","XLOC_047203",-0.337889226292307,-0.0364007780691544,-0.503353392980266,0.373766666666667,0.4664,14.5257002619432
"T_UT","ANO10","XLOC_037669",-0.327978727837739,-0.0514080659504215,-0.655352465195142,0.566866666666667,0.702333333333333,14.2438258556265
"T_UT","P2RY2","XLOC_008553",-0.314896660123579,0.0798714676869447,-0.535976498322713,0.3221,0.4407,24.5122098978633
"T_UT","TBC1D15","XLOC_011544",-0.306002925473974,-0.0791055475268657,-0.413447316625457,0.313966666666667,0.369233333333333,65.6931258335385
"T_UT","DEDD2","XLOC_027784",-0.302490170424329,0.0141651378282381,-0.508801859167397,0.354166666666667,0.4416,309.056581689268
"U_UT","CILK1","XLOC_046631",-1.62141410205241,0.0609786345121542,-3.02834009913835,0.5537,0.9143,15.6755371394528
"U_UT","CA11","XLOC_027940",-0.432120972624483,-0.0664057784267507,-0.716398710641161,0.451433333333333,0.5498,24.0636959062255
"U_UT","LRP1","XLOC_011405",-0.427355249388499,-0.0835044512999236,-0.803415223679711,0.4677,0.626566666666667,36.6969118185417
"U_UT","ARHGEF19","XLOC_002959",-0.401228286019449,-0.0580249410015456,-0.574651051692061,0.342433333333333,0.436333333333333,17.4721511523184
"U_UT","GOLGA8N","XLOC_017371",-0.370730174714772,-0.0990902562645033,-0.793554399403757,0.586566666666667,0.707933333333333,52.3356927399487
"U_UT","SORD","XLOC_017533",-0.369371713198623,-0.0548088122968106,-0.514312509658667,0.302666666666667,0.3784,35.9588319638497
"U_UT","ZNF689","XLOC_020928",-0.368795756833699,0.0075885542416891,-1.01352278631156,0.664166666666667,0.830366666666667,19.7313820111558
"U_UT","CNRIP1","XLOC_030866",-0.364827907645008,-0.0880785261941708,-0.47519351781587,0.324666666666667,0.4032,12.6921555663137
"U_UT","CTDSPL","XLOC_036076",-0.349613610822086,-0.0207601430079817,-0.517043623165791,0.3383,0.440666666666667,16.2390389096521
"U_UT","BTK","XLOC_056835",-0.341889338203886,-0.0889155913623618,-0.460068398448322,0.304133333333333,0.360766666666667,88.505819540053
"U_UT","WDSUB1","XLOC_031650",-0.341650691776038,-0.0423048547511286,-0.562876724679847,0.4458,0.5676,12.9974874006014
"U_UT","SMAD5","XLOC_042511",-0.339148613994259,0.181131436062525,-0.780996461580853,0.3956,0.568133333333333,32.3299252482385
"U_UT","GMPPA","XLOC_030071",-0.332626293789586,0.0386059824896437,-0.522091242761485,0.303766666666667,0.395733333333333,57.6082852005462
"U_UT","SUOX","XLOC_011380",-0.326462086606054,-0.00849465512333474,-0.494140556643426,0.3348,0.423633333333333,22.572714786306
"U_UT","HAUS5","XLOC_026314",-0.323441441353347,0.0597720893814251,-0.632882181609883,0.425666666666667,0.5909,14.9678285975712
"U_UT","NUDT5","XLOC_006544",-0.321358663917467,0.108003979595923,-0.591309473932298,0.335233333333333,0.4591,52.522906148157
"U_UT","TTC9C","XLOC_008309",-0.320601640173688,-0.0857890945836576,-0.438308962844171,0.332966666666667,0.393933333333333,40.5893662847974
"U_UT","SKP2","XLOC_041808",-0.315355721456668,-0.046054105934274,-0.434820988166593,0.3141,0.3831,21.650771823182
"U_UT","AMT","XLOC_037767",-0.315067071345721,-0.0574386504236404,-0.42747733400714,0.3178,0.380766666666667,21.9650565249707
"U_UT","COG5","XLOC_049820",-0.313485945329629,0.0167768705731633,-0.600805757179357,0.448866666666667,0.5678,22.4932456315647
"U_UT","SNAP91","XLOC_046794",-0.313189720094692,0.0136836776407313,-0.569304554266097,0.418066666666667,0.527133333333333,28.8494829837406
