"gene_name","switching","max_abs_dif","max_abs_dif_any","gene_expression","novel_involved","dataset","reference","isg_class"
"NUB1",FALSE,,0.0441666666666667,175.949933972759,FALSE,"T_HT","HT","Type II"
"OAS1",FALSE,,0.0737666666666666,197.242323289073,FALSE,"T_HT","HT","Type I"
"OAS2",FALSE,,0.0691666666666667,172.225024178887,FALSE,"T_HT","HT","Type I"
"OAS3",FALSE,,0.0866333333333333,217.292657369792,FALSE,"T_HT","HT","Type I"
"PARP14",FALSE,,0.0838666666666667,209.310145276258,FALSE,"T_HT","HT","Type II"
"PARP9",FALSE,,0.0787,124.492090562253,FALSE,"T_HT","HT","Type II"
"PDE12",FALSE,,0.0416,34.2705959017475,FALSE,"T_HT","HT","Type II"
"PPARG",FALSE,,0.1042,29.4435378848573,FALSE,"T_HT","HT","Type II"
"PTPN1",FALSE,,0.0194666666666667,125.415930438388,FALSE,"T_HT","HT","Type I"
"PTPN11",FALSE,,0.0904333333333333,78.141722656939,FALSE,"T_HT","HT","Type I"
"PTPN2",FALSE,,0.0511,78.4235020730875,FALSE,"T_HT","HT","Type I + II"
"PTPN6",FALSE,,0.0201666666666667,105.214934502953,FALSE,"T_HT","HT","Type I"
"RAB20",FALSE,,0.123566666666667,15.983893450516,FALSE,"T_HT","HT","Type II"
"RAB43",FALSE,,0.06,60.2982376772438,FALSE,"T_HT","HT","Type II"
"RAB7B",TRUE,0.154033333333333,0.154033333333333,624.66602370826,TRUE,"T_HT","HT","Type II"
"RAF1",FALSE,,0.0897,116.105964030314,FALSE,"T_HT","HT","Type II"
"RBM47",FALSE,,0.0444333333333333,39.2857654814128,FALSE,"T_HT","HT","Type I"
"RNF185",FALSE,,0.0302666666666667,28.102626725535,FALSE,"T_HT","HT","Type I"
"SAMHD1",FALSE,,0.0239,371.811689966475,FALSE,"T_HT","HT","Type I"
"SETD2",FALSE,,0.0725666666666667,54.4402053897246,FALSE,"T_HT","HT","Type I"
"SHFL",TRUE,0.178666666666667,0.178666666666667,76.1123797295843,FALSE,"T_HT","HT","Type I + II"
"SHMT2",FALSE,,0.0593,118.508984082548,FALSE,"T_HT","HT","Type I"
"SIN3A",FALSE,,0.0845,54.0451389044111,FALSE,"T_HT","HT","Type I"
"SIRPA",FALSE,,0.0229,245.892277080399,FALSE,"T_HT","HT","Type II"
"SLC11A1",FALSE,,0.105566666666667,49.938082432211,FALSE,"T_HT","HT","Type II"
"SLC22A5",FALSE,,0.0722666666666667,5.2856572658577,FALSE,"T_HT","HT","Type II"
"SLC26A6",FALSE,,0.0728333333333333,27.5796038304157,FALSE,"T_HT","HT","Type II"
"SMIM30",FALSE,,0.00273333333333334,42.9468015531196,FALSE,"T_HT","HT","Type I"
"SMPD1",FALSE,,0.0311333333333333,80.7364146522116,FALSE,"T_HT","HT","Type I"
"SP100",FALSE,,0.0606333333333333,169.422445157332,FALSE,"T_HT","HT","Type I + II"
"STAT1",FALSE,,0.132133333333333,241.335073531863,FALSE,"T_HT","HT","Type I + II"
"STAT2",FALSE,,0.0801333333333333,130.985962316964,FALSE,"T_HT","HT","Type I"
"STING1",FALSE,,0.126633333333333,39.1267928054885,FALSE,"T_HT","HT","Type I"
"STX4",FALSE,,0.0204666666666667,154.829074390512,FALSE,"T_HT","HT","Type II"
"STX8",FALSE,,0.0947,15.5762249717543,FALSE,"T_HT","HT","Type II"
"STXBP1",FALSE,,0.0670333333333333,9.49109552815305,FALSE,"T_HT","HT","Type II"
"STXBP3",FALSE,,0.0416,89.1475949830491,FALSE,"T_HT","HT","Type II"
"TANK",FALSE,,0.0446666666666667,170.908336243314,FALSE,"T_HT","HT","Type I"
"TBK1",FALSE,,0.0347333333333333,95.8309383694104,FALSE,"T_HT","HT","Type I"
"TBKBP1",FALSE,,0.0660333333333333,13.6575286984109,FALSE,"T_HT","HT","Type I"
"TLR2",FALSE,,0.0406666666666667,191.620776494464,FALSE,"T_HT","HT","Type II"
"TLR4",FALSE,,0.0588,35.1983721202841,FALSE,"T_HT","HT","Type II"
"TNF",FALSE,,0.0564,125.969766241889,FALSE,"T_HT","HT","Type II"
"TP53",FALSE,,0.0992333333333333,6.12698666658242,FALSE,"T_HT","HT","Type II"
"TRAF3",FALSE,,0.0670333333333333,61.1246601012525,FALSE,"T_HT","HT","Type I"
"TRIM21",FALSE,,0.0488666666666667,108.499572400291,FALSE,"T_HT","HT","Type II"
"TRIM41",FALSE,,0.0916,22.5201413633511,FALSE,"T_HT","HT","Type I"
"TRIM56",FALSE,,0.0454333333333333,23.4118942536397,FALSE,"T_HT","HT","Type I"
"TRIM6",FALSE,,0.1524,12.4863435318804,FALSE,"T_HT","HT","Type I"
"TRIM65",FALSE,,0.0922,16.0883581613029,FALSE,"T_HT","HT","Type I"
"TTLL12",FALSE,,0.0278333333333333,50.4372628462799,FALSE,"T_HT","HT","Type I"
"TYK2",FALSE,,0.0242,399.815483998839,FALSE,"T_HT","HT","Type I + II"
"UBE2K",FALSE,,0.0466,70.2935870532697,FALSE,"T_HT","HT","Type I"
"USP18",TRUE,0.164,0.164,110.244478678528,TRUE,"T_HT","HT","Type I"
"VAMP3",FALSE,,0.0356666666666667,41.4911765233828,FALSE,"T_HT","HT","Type II"
"VIM",FALSE,,0.0229,1767.03801290302,FALSE,"T_HT","HT","Type II"
"VPS26B",FALSE,,0.0603,27.1983545860666,FALSE,"T_HT","HT","Type II"
"WAS",FALSE,,0.00713333333333344,88.0095782728773,FALSE,"T_HT","HT","Type II"
"WNT5A",FALSE,,0.0649333333333334,8.2713172408824,FALSE,"T_HT","HT","Type I + II"
"YTHDF2",FALSE,,0.0134666666666667,111.960625888566,FALSE,"T_HT","HT","Type I"
"YTHDF3",FALSE,,0.0337666666666667,76.1269836923821,FALSE,"T_HT","HT","Type I"
"ZYX",FALSE,,0.0224666666666667,1268.60469392818,FALSE,"T_HT","HT","Type II"
"ACOD1",FALSE,,0.0295,469.915099581168,FALSE,"H_HT","HT","Type II"
"ACTG1",FALSE,,0.0414666666666667,7799.64155403936,FALSE,"H_HT","HT","Type II"
"ACTR2",FALSE,,0.0646333333333333,633.311427914744,FALSE,"H_HT","HT","Type II"
"ACTR3",FALSE,,0.0180333333333333,1235.650797751,FALSE,"H_HT","HT","Type II"
"ADAR",FALSE,,0.0473333333333333,249.770998243047,FALSE,"H_HT","HT","Type I"
