"gene_name","in_A","in_B","status","pair","dataset_A","dataset_B","A_max_abs_dif","A_expr","B_max_abs_dif","B_expr"
"ACTG1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0118666666666666,7069.64072302192,0.0163,5688.60186836915
"ACTR2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0652,806.05641393421,0.0352,654.714253690926
"ACTR3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0200333333333333,1545.92497045664,0.0207333333333334,1081.29592811426
"ADAMTS13",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0590666666666667,4.72326240623575,0.0701,5.14249346261556
"ADAR",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0426333333333333,526.658271826562,0.0699333333333333,441.818557563525
"AIF1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0775,344.144632605448,0.0413666666666667,78.533705041683
"ASS1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0338666666666667,451.95452384051,0.0217,414.630417354644
"AZI2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0928666666666667,76.3109843622958,0.0418666666666667,64.4385108535218
"BST2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.019,488.223734437456,0.0042,977.171679111646
"CACTIN",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0291333333333333,30.1668604153656,0.0253333333333333,26.9800741233398
"CALCOCO2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0726333333333333,97.5992967387954,0.0379666666666667,143.737436307368
"CALM1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0554666666666667,263.552179413723,0.0355333333333333,338.585747524342
"CASP1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0424666666666667,191.156543584484,0.0663,152.294706077293
"CCL2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0208666666666667,250.689324821131,0.0402666666666666,97.2012732744967
"CCL20",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0184,2508.15696147861,0.0338333333333334,1466.38677659275
"CCL21",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0605666666666667,38.2227511383931,0.0145,13.7054571620215
"CCL22",TRUE,TRUE,"Switching in both","UT: WT vs UBL5 KO","T_UT","U_UT",0.356333333333333,147.868336684749,0.882166666666667,16.1158509978708
"CCL23",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.029,48.0242967600162,0.1234,15.5979198548136
"CCL3",TRUE,TRUE,"Switching in both","UT: WT vs UBL5 KO","T_UT","U_UT",0.235966666666667,7597.4760422593,0.292766666666667,3111.0724809601
"CCL4",TRUE,TRUE,"Switching in both","UT: WT vs UBL5 KO","T_UT","U_UT",0.188233333333333,14676.5237611215,0.317466666666667,3751.64931962446
"CD47",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0541666666666667,209.824941081712,0.0363666666666667,213.054673133307
"CD58",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0364666666666667,447.059912993733,0.0356333333333333,207.44534799264
"CD74",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0174666666666667,600.932358449872,0.0186333333333333,399.726734246515
"CDC37",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0538666666666667,522.398957728435,0.00819999999999999,475.289201514054
"CDC42EP4",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.00793333333333335,54.7614840716334,0.00813333333333334,26.9865935187505
"CITED1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0812,31.3811587690296,0.0587,37.085097098227
"CNOT7",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0282666666666667,174.558575960889,0.0575,179.373215569196
"CXCL16",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0738,46.3824004993513,0.0437666666666667,50.2200260702286
"CYP27B1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0396,100.089984318034,0.0665666666666667,69.9438999404653
"DAPK1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0943333333333333,48.3182220614762,0.0805333333333333,79.6198817352956
"DAPK3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0117333333333334,72.1821286262769,0.0330333333333334,63.5778115060767
"DCST1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0279,248.452246845448,0.0410333333333333,189.543038101292
"EIF4E2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0405666666666667,154.004651566875,0.1657,166.813621071458
"EPRS1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0388666666666667,337.126562194862,0.049,383.958746999576
"FLNB",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0789,76.8357769774327,0.0775666666666666,60.5828364917844
"GAPDH",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0098,2570.68510441783,0.0349333333333333,2384.7858093429
"GBP1",TRUE,FALSE,"Switching in T_UT only","UT: WT vs UBL5 KO","T_UT","U_UT",0.185066666666667,135.73860067192,0.0776,67.3764389667114
"GBP3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.109266666666667,76.035157144356,0.0482666666666667,71.4251276983343
"GBP4",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.100766666666667,130.040985044975,0.0582666666666667,33.3800517216011
"GBP5",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.1343,129.98997711697,0.106666666666667,18.4875690530945
"GCH1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0358,93.791826069744,0.109666666666667,56.1765378644103
"GIGYF2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0721666666666667,62.8871890033577,0.0491666666666667,64.352577000813
"GSN",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0304333333333334,680.041786711123,0.0153666666666667,1110.0150197725
"HCK",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0438333333333334,220.238369515378,0.0667,97.278391262502
"HDAC4",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.1175,4.60279768752604,0.0360666666666666,10.6094549571651
"IFIH1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0838666666666667,272.704864875307,0.0394,112.329523319644
"IFIT1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.1551,259.425544530418,0.0483333333333333,187.559551060254
"IFITM2",TRUE,FALSE,"Switching in T_UT only","UT: WT vs UBL5 KO","T_UT","U_UT",0.289466666666667,391.165015994835,0.0262333333333333,1205.99706871236
"IFITM3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0202666666666667,748.379677997123,0.0027666666666667,1810.72489086401
"IFNAR1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.07,125.61875736686,0.0960333333333333,85.8223271542784
"IFNAR2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0925666666666667,594.412072642177,0.0660333333333333,315.863179649119
"IFNGR1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0427333333333333,683.170573774841,0.0379,308.180695302388
"IFNGR2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0277,1076.48680285498,0.0178,456.413929849365
"IKBKE",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0487333333333333,211.194660911455,0.0878,118.559457108741
"IL12RB1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0744666666666667,26.3003151920636,0.0976,14.4861525791464
"IRAK1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.017,521.850868711245,0.0101666666666667,435.65836667446
"IRF1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0270666666666667,326.905634285552,0.0259666666666667,117.426117666043
"IRF3",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0668333333333333,101.875121110628,0.0257,148.307824749849
"IRF7",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0924333333333333,108.71629162036,0.0328666666666667,97.1405637795015
"IRF8",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0342,185.101195161787,0.0627333333333333,68.640162316236
"ISG15",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",9.9999999999989e-05,1147.03129587491,1e-04,758.466187846471
"JAK1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0338,140.696026961661,0.0478,101.365952678398
"JAK2",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0499666666666667,98.3007010169667,0.0662333333333333,54.1925010844759
"KIF5B",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0651333333333333,116.836817803372,0.0475333333333333,172.571455845042
"KYNU",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0422,1224.86999900199,0.0333,490.026148156993
"LSM14A",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0558333333333333,152.462560165951,0.0594,135.318971917763
"MED1",FALSE,FALSE,"Switching in neither","UT: WT vs UBL5 KO","T_UT","U_UT",0.0861,40.734318148829,0.0604,42.257288944657
