"isoform_id","gene_id","gene_name","T_dIF_n","T_q_i","T_q_g","T_is_switching","H_dIF_n","H_q_i","H_q_g","H_is_switching","in_T","in_H","T_significant","H_significant","present_in_both","same_direction","abs_dIF_delta","tested_in_H","tested_in_T","H_ctx_dIF","H_ctx_IF1","H_ctx_IF2","H_ctx_q","T_ctx_dIF","T_ctx_IF1","T_ctx_IF2","T_ctx_q","H_dIF_used","same_direction_ctx","H_passes_significance","overlap_note"
"TCONS_00123365","XLOC_023406","CCL3",0.234666666666667,8.79816410207364e-12,8.79816410207364e-12,TRUE,0.136,0.979772688627423,0.0608465159479623,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0986666666666667,TRUE,TRUE,0.136,0.165466666666667,0.301466666666667,0.979772688627423,0.234666666666667,0.245733333333333,0.4804,8.79816410207364e-12,0.136,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00189711","XLOC_034711","CCDC117",-0.233266666666667,0.0390298532625624,0.0390298532625624,TRUE,0.0655,1,0.519435636574194,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.298766666666667,TRUE,TRUE,0.0655,0.365366666666667,0.430866666666667,1,-0.233266666666667,0.488833333333333,0.255566666666667,0.0390298532625624,0.0655,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00031650","XLOC_005992","IFIT1",-0.225666666666667,1.22316300561408e-16,1.22316300561408e-16,TRUE,-0.0694,8.62660289277537e-06,8.62660289277537e-06,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.156266666666667,TRUE,TRUE,-0.0694,0.0834,0.014,8.62660289277537e-06,-0.225666666666667,0.267533333333333,0.0418666666666667,1.22316300561408e-16,-0.0694,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00110973","XLOC_021196","COG4",-0.2253,1.84510757520461e-08,1.84510757520461e-08,TRUE,-0.0778,1,0.82397052089862,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1475,TRUE,TRUE,-0.0778,0.150633333333333,0.0728333333333333,1,-0.2253,0.347966666666667,0.122666666666667,1.84510757520461e-08,-0.0778,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00123355","XLOC_023406","CCL3",-0.224166666666667,1.97095668322446e-11,8.79816410207364e-12,TRUE,-0.131033333333333,1,0.0608465159479623,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0931333333333333,TRUE,TRUE,-0.131033333333333,0.808866666666667,0.677833333333333,1,-0.224166666666667,0.706533333333333,0.482366666666667,1.97095668322446e-11,-0.131033333333333,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00248016","XLOC_046969","IPCEF1",0.2238,3.6310904583782e-13,1.22955148118921e-36,TRUE,-0.0643666666666667,1,0.521409375831492,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.288166666666667,TRUE,TRUE,-0.0643666666666667,0.376833333333333,0.312466666666667,1,0.2238,0.0815,0.3053,3.6310904583782e-13,-0.0643666666666667,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00200674","XLOC_037565","RASSF1",0.222966666666667,0.0322889042208341,0.0322889042208341,TRUE,0.2064,0.886972468983999,0.567505741221549,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0165666666666667,TRUE,TRUE,0.2064,0.4029,0.6093,0.886972468983999,0.222966666666667,0.620166666666667,0.843133333333333,0.0322889042208341,0.2064,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00122166","XLOC_023106","PLD6",0.2215,9.30712700564531e-13,9.30712700564531e-13,TRUE,-0.0149666666666667,0.833992315469281,0.81407159993967,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.236466666666667,TRUE,TRUE,-0.0149666666666667,0.0254,0.0104333333333333,0.833992315469281,0.2215,0.353766666666667,0.575266666666667,9.30712700564531e-13,-0.0149666666666667,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00128613","XLOC_022554","PITPNC1",-0.221233333333333,0.00013537457110165,0.00013537457110165,TRUE,-0.00503333333333333,1,0.864467451710537,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.2162,TRUE,TRUE,-0.00503333333333333,0.610033333333333,0.605,1,-0.221233333333333,0.6851,0.463866666666667,0.00013537457110165,-0.00503333333333333,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00005874","XLOC_001285","CTTNBP2NL",-0.221033333333333,0.0052785731886035,0.0052785731886035,TRUE,-0.1106,0.661821871878974,0.480659738694306,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.110433333333333,TRUE,TRUE,-0.1106,0.926533333333333,0.815933333333333,0.661821871878974,-0.221033333333333,0.928333333333333,0.7073,0.0052785731886035,-0.1106,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00170352","XLOC_028123","RSAD2",-0.214833333333333,0.0100603497389864,3.22779548397385e-15,TRUE,0.0305333333333333,1,1.7629320088007e-15,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.245366666666667,TRUE,TRUE,0.0305333333333333,0.0810666666666667,0.1116,1,-0.214833333333333,0.368433333333333,0.1536,0.0100603497389864,0.0305333333333333,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00246074","XLOC_046933","KATNA1",0.214433333333333,0.00152554796828384,0.00152554796828384,TRUE,0.0985,1,0.910838644066982,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.115933333333333,TRUE,TRUE,0.0985,0.2371,0.3356,1,0.214433333333333,0.2662,0.480633333333333,0.00152554796828384,0.0985,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00246245","XLOC_046969","IPCEF1",-0.213033333333333,2.01943348757926e-05,1.22955148118921e-36,TRUE,-0.0247666666666667,1,0.521409375831492,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.188266666666667,TRUE,TRUE,-0.0247666666666667,0.0289666666666667,0.0042,1,-0.213033333333333,0.2619,0.0488666666666667,2.01943348757926e-05,-0.0247666666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00089883","XLOC_015588","JDP2",0.2092,9.98314881050804e-21,1.3290192315648e-23,TRUE,0.1656,1,0.473961738483252,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0435999999999999,TRUE,TRUE,0.1656,0.348866666666667,0.514466666666667,1,0.2092,0.0563333333333333,0.265533333333333,9.98314881050804e-21,0.1656,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00260483","XLOC_049736","ZC3HAV1",-0.207366666666667,3.30523191819509e-05,2.82237550080375e-24,TRUE,-0.2083,1,3.6686790054696e-06,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.000933333333333342,TRUE,TRUE,-0.2083,0.517633333333333,0.309333333333333,1,-0.207366666666667,0.828133333333333,0.620766666666667,3.30523191819509e-05,-0.2083,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00082770","XLOC_015708","RIN3",-0.206666666666667,0.00538972162081686,0.00139436540388941,TRUE,-0.0664,1,0.997889540956415,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.140266666666667,TRUE,TRUE,-0.0664,0.400666666666667,0.334266666666667,1,-0.206666666666667,0.3565,0.149833333333333,0.00538972162081686,-0.0664,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00071162","XLOC_012799","NEMP1",0.2042,0.00423988092917687,0.000814703706837774,TRUE,0.203733333333333,0.732430239437666,0.43521739904418,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.000466666666666643,TRUE,TRUE,0.203733333333333,0.2558,0.459533333333333,0.732430239437666,0.2042,0.182766666666667,0.386966666666667,0.00423988092917687,0.203733333333333,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00252298","XLOC_047802","ZP3",0.2027,5.3882550244545e-05,5.3882550244545e-05,TRUE,0.300633333333333,0.0352894357474678,0.0352894357474678,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0979333333333333,TRUE,TRUE,0.300633333333333,0.5551,0.855733333333333,0.0352894357474678,0.2027,0.450933333333333,0.653633333333333,5.3882550244545e-05,0.300633333333333,TRUE,TRUE,"Significant in H"
"TCONS_00128110","XLOC_022554","PITPNC1",0.2022,0.000967888746315024,0.00013537457110165,TRUE,0.0163666666666667,1,0.864467451710537,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.185833333333333,TRUE,TRUE,0.0163666666666667,0.197,0.213366666666667,1,0.2022,0.130833333333333,0.333033333333333,0.000967888746315024,0.0163666666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00248414","XLOC_045300","NCOA7",-0.201666666666667,5.03115104159392e-07,4.48137893502852e-113,TRUE,-0.103,6.89720892260228e-08,5.41945478936502e-11,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0986666666666667,TRUE,TRUE,-0.103,0.103,0,6.89720892260228e-08,-0.201666666666667,0.202133333333333,0.000466666666666667,5.03115104159392e-07,-0.103,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00040350","XLOC_007648","TRIM22",-0.1938,0.0453303072477825,0.00179113205169596,TRUE,0.0467333333333333,1,0.0119445256679218,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.240533333333333,TRUE,TRUE,0.0467333333333333,0.220266666666667,0.267,1,-0.1938,0.2987,0.1049,0.0453303072477825,0.0467333333333333,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00082164","XLOC_015588","JDP2",-0.1937,0.0205926371999779,1.3290192315648e-23,TRUE,-0.286166666666667,0.895338794412867,0.473961738483252,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0924666666666667,TRUE,TRUE,-0.286166666666667,0.507033333333333,0.220866666666667,0.895338794412867,-0.1937,0.6998,0.5061,0.0205926371999779,-0.286166666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00114643","XLOC_021587","KDM6B",-0.193433333333333,0.00587836169175505,0.00587836169175505,TRUE,-0.1263,0.853947854311984,0.853947854311984,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0671333333333333,TRUE,TRUE,-0.1263,0.341766666666667,0.215466666666667,0.853947854311984,-0.193433333333333,0.399266666666667,0.205833333333333,0.00587836169175505,-0.1263,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00018787","XLOC_004477","NME7",-0.1929,0.00157583493178867,0.00157583493178867,TRUE,-0.4464,0.000142315752426131,0.000142315752426131,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.2535,TRUE,TRUE,-0.4464,0.4497,0.0033,0.000142315752426131,-0.1929,0.724633333333333,0.531733333333333,0.00157583493178867,-0.4464,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00037273","XLOC_007417","FAM53B",-0.189566666666667,9.4119660700993e-06,9.4119660700993e-06,TRUE,-0.0764333333333334,1,0.970651206662782,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.113133333333333,TRUE,TRUE,-0.0764333333333334,0.292166666666667,0.215733333333333,1,-0.189566666666667,0.4179,0.228333333333333,9.4119660700993e-06,-0.0764333333333334,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00116477","XLOC_022044","CCL4",0.188466666666667,0.0128941873591882,0.0128941873591882,TRUE,0.0593666666666667,1,0.0191012180666842,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1291,TRUE,TRUE,0.0593666666666667,0.322,0.381366666666667,1,0.188466666666667,0.313266666666667,0.501733333333333,0.0128941873591882,0.0593666666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00116460","XLOC_022044","CCL4",-0.188,0.0230721040909237,0.0128941873591882,TRUE,-0.0596,1,0.0191012180666842,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1284,TRUE,TRUE,-0.0596,0.6636,0.604,1,-0.188,0.581233333333333,0.393233333333333,0.0230721040909237,-0.0596,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00160497","XLOC_030152","RNASEH1",-0.1878,6.80765248812354e-11,4.10621195709129e-20,TRUE,-0.0231666666666667,0.845132263027122,0.392438197067322,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.164633333333333,TRUE,TRUE,-0.0231666666666667,0.0410333333333333,0.0178666666666667,0.845132263027122,-0.1878,0.310533333333333,0.122733333333333,6.80765248812354e-11,-0.0231666666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00160504","XLOC_030152","RNASEH1",0.187633333333333,4.10621195709129e-20,4.10621195709129e-20,TRUE,-0.0441333333333334,1,0.392438197067322,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.231766666666667,TRUE,TRUE,-0.0441333333333334,0.7128,0.668666666666667,1,0.187633333333333,0.533966666666667,0.7216,4.10621195709129e-20,-0.0441333333333334,FALSE,FALSE,"Tested in H, not switching"
