"gene_name","overlap_class","T_gene_id","U_gene_id","T_n_switching","U_n_switching","T_max_abs_dif","U_max_abs_dif","delta_max_abs_dif","T_min_q","U_min_q","T_novel_involved","U_novel_involved","T_opposing","U_opposing","T_rank","U_rank"
"LINC00278","T-only","XLOC_057326",,1,,0.241566666666667,,,0.000512640779958261,,FALSE,,FALSE,,122,
"FARS2","T-only","XLOC_044515",,1,,0.239666666666667,,,1.26451520714172e-05,,TRUE,,FALSE,,124,
"IRAK3","T-only","XLOC_011494",,1,,0.238166666666667,,,0.000148560581911093,,FALSE,,FALSE,,125,
"JDP2","T-only","XLOC_015706",,2,,0.2357,,,9.81373998389333e-30,,TRUE,,TRUE,,33,
"NEMP1","T-only","XLOC_012880",,3,,0.235066666666667,,,2.64634819076352e-11,,TRUE,,TRUE,,34,
"CRACD","T-only","XLOC_039346",,1,,0.233766666666667,,,0.00835674190162495,,FALSE,,FALSE,,126,
"ARID5B","T-only","XLOC_005779",,1,,0.230266666666667,,,0.046434544233603,,TRUE,,FALSE,,127,
"PTPN4","T-only","XLOC_029319",,1,,0.2298,,,0.0265708684846023,,FALSE,,FALSE,,128,
"PRKACB","T-only","XLOC_001048",,1,,0.2291,,,0.0461894919003621,,FALSE,,FALSE,,129,
"HESX1","T-only","XLOC_037864",,2,,0.226833333333333,,,0.00985761008873253,,TRUE,,TRUE,,35,
"C1orf74","T-only","XLOC_004866",,1,,0.226533333333333,,,1.5326954457505e-06,,FALSE,,FALSE,,130,
"AGAP1","T-only","XLOC_030215",,1,,0.2259,,,6.27328011873124e-13,,FALSE,,FALSE,,131,
"ZNF175","T-only","XLOC_026704",,2,,0.2233,,,2.16468547813701e-08,,FALSE,,TRUE,,36,
"HELZ","T-only","XLOC_024139",,2,,0.222066666666667,,,0.00574586750109999,,TRUE,,TRUE,,37,
"LINC02542","T-only","XLOC_046784",,1,,0.220266666666667,,,0.00366862753220843,,FALSE,,FALSE,,132,
"MRPL42","T-only","XLOC_011692",,2,,0.2198,,,4.69141424581951e-06,,TRUE,,TRUE,,39,
"SAA1","T-only","XLOC_007845",,1,,0.219066666666667,,,0.000456891284412476,,TRUE,,FALSE,,133,
"CALN1","T-only","XLOC_049509",,1,,0.218366666666667,,,0.0153176829302908,,FALSE,,FALSE,,134,
"GPRC5B","T-only","XLOC_020762",,1,,0.218333333333333,,,0.00891068705301682,,FALSE,,FALSE,,135,
"SAMD14","T-only","XLOC_023939",,1,,0.217633333333333,,,0.00310041342177101,,FALSE,,FALSE,,136,
"LIMS2","T-only","XLOC_031415",,1,,0.216233333333333,,,0.0217259821004758,,FALSE,,FALSE,,137,
"TMEM14A","T-only","XLOC_045156",,2,,0.213633333333333,,,1.41600215498545e-07,,TRUE,,TRUE,,40,
"HS1BP3","T-only","XLOC_030459",,3,,0.211666666666667,,,2.24715251368708e-05,,TRUE,,TRUE,,41,
"SMIM24","T-only","XLOC_027060",,1,,0.209133333333333,,,0.0410770264003308,,FALSE,,FALSE,,139,
"TMEM170B","T-only","XLOC_044564",,2,,0.208566666666667,,,0.00514281917354287,,TRUE,,TRUE,,42,
"ATRN","T-only","XLOC_032370",,1,,0.207866666666667,,,0.00126975818903057,,FALSE,,FALSE,,140,
