"rank","gene_name","dif_rank","lfc_rank","visibility","called_in","annotation_robust","cross_genotype_support","dif_anchor","dif_reannot","dif_cross","lfc_anchor","lfc_reannot","expr_anchor","n_iso_anchor","switches_anchor","switches_reannot","testable_reannot","switches_cross","testable_cross"
16,"TFPI2",0.2711,3.91705336589542,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.2711,,3.8275582048946,3.91705336589542,,,FALSE,TRUE,TRUE,FALSE,TRUE
17,"IFIT1",0.2691,5.61003897402019,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.2691,,,5.61003897402019,6.43161515626024,203.286040350745,2,TRUE,FALSE,TRUE,FALSE,TRUE
18,"TIMP3",0.269066666666667,-0.363131326181361,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.269066666666667,,-0.611114032707051,-0.363131326181361,,,FALSE,TRUE,TRUE,FALSE,FALSE
19,"TMEM234",0.2684,-0.147222634083231,"cryptic (DE would miss it)","T_HT only",FALSE,"also switches in H_HT",0.2684,,0.2981,-0.147222634083231,-0.116632631183529,17.6057549304934,1,TRUE,FALSE,TRUE,TRUE,TRUE
20,"ALKBH3",0.2671,-0.135609969135339,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.2671,,,-0.135609969135339,-0.514644368554453,37.208623687885,1,TRUE,FALSE,TRUE,FALSE,TRUE
21,"IL23A",0.2664,4.42690634033566,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.2664,0.313633333333333,,4.42690634033566,4.50952775792314,190.418837787326,2,TRUE,TRUE,TRUE,FALSE,TRUE
22,"MRPL39",0.2652,-0.49200877137184,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.2652,,-0.547637468290885,-0.49200877137184,,,FALSE,TRUE,TRUE,FALSE,TRUE
23,"RGS19",0.262466666666667,-1.62852369414491,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.262466666666667,0.2572,,-1.62852369414491,-1.57215771099124,56.8054923966197,1,TRUE,TRUE,TRUE,FALSE,TRUE
24,"PLA2G7",0.255733333333333,0.477436813407046,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.255733333333333,,,0.477436813407046,0.746428773270466,20.3112547163777,1,TRUE,FALSE,TRUE,FALSE,TRUE
25,"PHLDA3",0.251133333333333,-0.197386836835016,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.251133333333333,,,-0.197386836835016,0.254108616999275,84.4276988306364,1,TRUE,FALSE,TRUE,FALSE,TRUE
