"dataset","gene_name","gene_id","gene_lfc","max_abs_dif","gene_expression"
"T_HT","CD86","XLOC_036495",0.0910286280408065,0.3443,16.0998409667209
"T_HT","IPCEF1","XLOC_046969",0.141021882397063,0.289966666666667,43.666486586311
"T_HT","TMEM234","XLOC_003170",-0.147222634083231,0.2684,17.6057549304934
"T_HT","ALKBH3","XLOC_007960",-0.135609969135339,0.2671,37.208623687885
"T_HT","PHLDA3","XLOC_004716",-0.197386836835016,0.251133333333333,84.4276988306364
"T_HT","CCDC117","XLOC_034711",0.0511285753983946,0.233266666666667,17.4346043281078
"T_HT","PLD6","XLOC_023106",0.168862378485861,0.2215,23.0457351917712
"T_HT","CTTNBP2NL","XLOC_001285",-0.117525407825791,0.221033333333333,14.466461662933
"T_HT","KATNA1","XLOC_046933",-0.226387541621089,0.214433333333333,33.7580375197563
"T_HT","ATRN","XLOC_032186",-0.200120867767839,0.207866666666667,13.904928740681
"T_HT","RNASEH1","XLOC_030152",-0.176346372410361,0.1878,38.919063406393
"T_HT","UCHL3","XLOC_013955",0.0681357130726093,0.184,74.48081467994
"T_HT","PRKAR1B","XLOC_048605",0.0679369086239362,0.177733333333333,15.7106899690687
"T_HT","TEX30","XLOC_014800",0.00688320551992881,0.176833333333333,24.5527384934358
"T_HT","CBWD3","XLOC_052815",0.164777128518921,0.175133333333333,19.1191132039153
"T_HT","ACP3","XLOC_036619",-0.152352129126635,0.1734,152.434607472488
"T_HT","WDR33","XLOC_031234",0.0606222138406542,0.170533333333333,28.1318912851854
"T_HT","GTF3C6","XLOC_045207",0.182198259278513,0.166866666666667,280.838963311512
"T_HT","C5orf51","XLOC_041576",-0.193405681207888,0.164933333333333,29.9453802596217
"T_HT","PCSK7","XLOC_010446",-0.100728027433389,0.164566666666667,33.9368763709317
"T_HT","SOCS4","XLOC_015377",0.0152378237186601,0.162233333333333,13.6726498102496
"T_HT","AMIGO3","XLOC_037549",-0.179148545772422,0.154533333333333,23.6809916122071
"T_HT","PBX2","XLOC_046083",-0.0742817424210938,0.153266666666667,608.240454214305
"T_HT","PIGV","XLOC_000432",-0.0050168378220007,0.151233333333333,18.571492310972
"T_HT","GFOD2","XLOC_021139",0.0848630433251766,0.150333333333333,13.0341572115087
"T_UT","IPCEF1","XLOC_047270",0.205414797066233,0.275,60.5315123316814
"T_UT","IRAK3","XLOC_011494",-0.0774197549616504,0.238166666666667,14.1425120553931
"T_UT","PLD6","XLOC_023262",0.245704248710331,0.221833333333333,30.9080973340476
"T_UT","LIG1","XLOC_027926",-0.194647255048949,0.218666666666667,70.51802087123
"T_UT","SAMD14","XLOC_023939",0.0747753087273765,0.217633333333333,15.1306387173738
"T_UT","ATRN","XLOC_032370",-0.135708691078085,0.207866666666667,18.4763147150687
"T_UT","CTTNBP2NL","XLOC_001303",-0.0734414309055654,0.194233333333333,19.0616312188074
"T_UT","SPRING1","XLOC_013382",0.00488597836834782,0.187766666666667,32.0787960343436
"T_UT","SP1","XLOC_011307",-0.223175155409929,0.184133333333333,50.9569584558379
"T_UT","SOCS4","XLOC_015494",0.04397221202631,0.1795,23.017666529931
"T_UT","RAB7B","XLOC_004829",-0.214490401793381,0.1741,714.648076169081
"T_UT","DCUN1D4","XLOC_039304",0.214604991187694,0.1706,26.3421798293347
"T_UT","SORT1","XLOC_003879",-0.0740701365595194,0.165833333333333,68.2259309318125
"T_UT","R3HCC1L","XLOC_006121",-0.113633661148789,0.162866666666667,16.363414775206
"T_UT","ZDHHC21","XLOC_053892",0.00805187424735245,0.162666666666667,13.7152421991842
"T_UT","PPAN-P2RY11","XLOC_025855",-0.217762885997118,0.1599,180.653702178245
"T_UT","ITSN1","XLOC_033961",-0.172867485182651,0.159733333333333,13.2622688456586
"T_UT","PCSK7","XLOC_010504",-0.0238136588460152,0.1571,46.496094734703
"T_UT","AGPAT3","XLOC_034074",0.175825346880234,0.154633333333333,66.1556685509929
