"isoform_id","gene_id","gene_name","T_dIF_n","T_q_i","T_q_g","T_is_switching","H_dIF_n","H_q_i","H_q_g","H_is_switching","in_T","in_H","T_significant","H_significant","present_in_both","same_direction","abs_dIF_delta","tested_in_H","tested_in_T","H_ctx_dIF","H_ctx_IF1","H_ctx_IF2","H_ctx_q","T_ctx_dIF","T_ctx_IF1","T_ctx_IF2","T_ctx_q","H_dIF_used","same_direction_ctx","T_dIF_used","same_direction_ctx_T","overlap_note_T"
"TCONS_00250034","XLOC_047183","CCZ1",0.00106666666666667,0.984447538189566,0.612138301429939,FALSE,0.3038,0.0351430226313972,0.0351430226313972,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.302733333333333,TRUE,TRUE,0.3038,0.0533666666666667,0.357166666666667,0.0351430226313972,0.00106666666666667,0.00796666666666667,0.00903333333333333,0.984447538189566,0.3038,TRUE,0.00106666666666667,TRUE,"Tested in T, not switching"
"TCONS_00113670","XLOC_020178","USP10",0.0246333333333333,0.921536084175108,3.62580077356114e-05,FALSE,-0.301533333333333,1.60688642534409e-16,1.60688642534409e-16,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.326166666666667,TRUE,TRUE,-0.301533333333333,0.376133333333333,0.0746,1.60688642534409e-16,0.0246333333333333,0.1502,0.174833333333333,0.921536084175108,-0.301533333333333,FALSE,0.0246333333333333,FALSE,"Tested in T, not switching"
"TCONS_00252298","XLOC_047802","ZP3",0.2027,5.3882550244545e-05,5.3882550244545e-05,TRUE,0.300633333333333,0.0352894357474678,0.0352894357474678,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0979333333333333,TRUE,TRUE,0.300633333333333,0.5551,0.855733333333333,0.0352894357474678,0.2027,0.450933333333333,0.653633333333333,5.3882550244545e-05,0.300633333333333,TRUE,0.2027,TRUE,"Significant in T"
"TCONS_00001813","XLOC_000426","DHDDS",0.0583333333333333,0.9202403403604,0.446704198088145,FALSE,0.2991,0.0366518083333096,0.0366518083333096,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.240766666666667,TRUE,TRUE,0.2991,0.141333333333333,0.440433333333333,0.0366518083333096,0.0583333333333333,0.2316,0.289933333333333,0.9202403403604,0.2991,TRUE,0.0583333333333333,TRUE,"Tested in T, not switching"
"TCONS_00115835","XLOC_021883","TNFAIP1",0.00823333333333331,1,0.26849162883098,FALSE,0.298666666666667,0.000356106007451208,0.000356106007451208,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.290433333333333,TRUE,TRUE,0.298666666666667,0.644033333333333,0.9427,0.000356106007451208,0.00823333333333331,0.773033333333333,0.781266666666667,1,0.298666666666667,TRUE,0.00823333333333331,TRUE,"Tested in T, not switching"
"TCONS_00013260","XLOC_003170","TMEM234",-0.2684,0.0026021966421161,0.0026021966421161,TRUE,-0.2981,0.0431815804609334,0.0431815804609334,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0297000000000001,TRUE,TRUE,-0.2981,0.558533333333333,0.260433333333333,0.0431815804609334,-0.2684,0.550866666666667,0.282466666666667,0.0026021966421161,-0.2981,TRUE,-0.2684,TRUE,"Significant in T"
"TCONS_00187321","XLOC_035134","HIRA",0.1358,1.91867024897093e-06,1.91867024897093e-06,FALSE,0.2981,0.00482136852738749,0.00482136852738749,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.1623,TRUE,TRUE,0.2981,0.45,0.7481,0.00482136852738749,0.1358,0.578733333333333,0.714533333333333,1.91867024897093e-06,0.2981,TRUE,0.1358,TRUE,"Tested in T, not switching"
"TCONS_00129843","XLOC_021883","TNFAIP1",-0.0305666666666667,0.9202403403604,0.26849162883098,FALSE,-0.294566666666667,0.00547964322441799,0.000356106007451208,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.264,TRUE,TRUE,-0.294566666666667,0.3377,0.0431333333333333,0.00547964322441799,-0.0305666666666667,0.1807,0.150133333333333,0.9202403403604,-0.294566666666667,TRUE,-0.0305666666666667,TRUE,"Tested in T, not switching"
"TCONS_00114201","XLOC_021533","KIF1C",-0.0421333333333333,0.9202403403604,0.9202403403604,FALSE,-0.292433333333333,1.06187727250743e-11,1.06187727250743e-11,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.2503,TRUE,TRUE,-0.292433333333333,0.362733333333333,0.0703,1.06187727250743e-11,-0.0421333333333333,0.230433333333333,0.1883,0.9202403403604,-0.292433333333333,TRUE,-0.0421333333333333,TRUE,"Tested in T, not switching"
"TCONS_00251978","XLOC_047739","SBDSP1",-0.0535333333333333,0.9202403403604,0.547955635986839,FALSE,-0.2828,0.00638794521846613,0.00638794521846613,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.229266666666667,TRUE,TRUE,-0.2828,0.461633333333333,0.178833333333333,0.00638794521846613,-0.0535333333333333,0.139166666666667,0.0856333333333333,0.9202403403604,-0.2828,TRUE,-0.0535333333333333,TRUE,"Tested in T, not switching"
"TCONS_00007067","XLOC_001633","CKS1B",-0.0750666666666666,0.91094621678484,0.695465808694166,FALSE,0.2821,4.6368620879627e-05,4.6368620879627e-05,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.357166666666667,TRUE,TRUE,0.2821,0.5449,0.827,4.6368620879627e-05,-0.0750666666666666,0.724966666666667,0.6499,0.91094621678484,0.2821,FALSE,-0.0750666666666666,FALSE,"Tested in T, not switching"
"TCONS_00056002","XLOC_009327","RNF141",0.123933333333333,0.375749176714269,0.00930371567111335,FALSE,0.2819,0.00327491184492976,0.00327491184492976,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.157966666666667,TRUE,TRUE,0.2819,0.1251,0.407,0.00327491184492976,0.123933333333333,0.236533333333333,0.360466666666667,0.375749176714269,0.2819,TRUE,0.123933333333333,TRUE,"Tested in T, not switching"
